servering..i.kg.,antal.ätande.på.plats,kategori,tallrikssvinn.gäst.dag,enhet,tallrik..i.kg.,serveringssvinn.gäst.dag,kökssvinn.gäst.dag,dagar,antal.port.inkl..utskick,kök..i.kg.,date,code
,643,grundskola,39.26,Blombacka,404,NULL,NULL,16,1152,,2019-01-01T12:00:00Z,Blom
,386,grundskola,NULL,Braxen,,NULL,NULL,,386,,2019-01-01T12:00:00Z,Brax
,899,grundskola,NULL,Brunnsäng,,NULL,NULL,,899,,2019-01-01T12:00:00Z,Brun
,581,grundskola,19,Ene,210,NULL,22,19,581,240,2019-01-01T12:00:00Z,Ene
,338,grundskola,14,Fornbacka,72,NULL,NULL,15,338,,2019-01-01T12:00:00Z,Forn
,564,grundskola,38,Hovsjö,342,NULL,23,16,564,204,2019-01-01T12:00:00Z,Hovs
,477,grundskola,4,Hölö,35,NULL,4,19,477,35,2019-01-01T12:00:00Z,Hölö
,697,grundskola,16,Igelstaviken,206,NULL,NULL,19,697,,2019-01-01T12:00:00Z,Igel
30,391,grundskola,16,Lina,119,4,15,19,391,110,2019-01-01T12:00:00Z,Lina
,222,grundskola,31,Majtorp,118,NULL,30,17,222,115,2019-01-01T12:00:00Z,Majt
9,325,gymnasium,7,Moraberg,32,2,1,15,325,7,2019-01-01T12:00:00Z,Mora
,145,grundskola,83,Mölnbo,230,NULL,46,19,231,200,2019-01-01T12:00:00Z,Möln
,334,grundskola,NULL,Oxbacken,,NULL,NULL,,334,,2019-01-01T12:00:00Z,Oxba
,531,grundskola,15,Pershagen,125,NULL,11,16,531,90,2019-01-01T12:00:00Z,Pers
,639,gymnasium,24,Rektorsvägen,262,NULL,24,17,639,260,2019-01-01T12:00:00Z,Rekt
,757,grundskola,28,Ronna,333,NULL,8,16,1179,160,2019-01-01T12:00:00Z,Ronn
,540,grundskola,27,Rosenborg,247,NULL,13,17,1456,322,2019-01-01T12:00:00Z,Rose
,628,grundskola,25,Soldala,286,NULL,10,18,628,113,2019-01-01T12:00:00Z,Sold
,361,grundskola,18,Stålhamra,106,NULL,21,16,361,124,2019-01-01T12:00:00Z,Stål
,444,grundskola,12,Tavesta,105,NULL,19,19,444,160,2019-01-01T12:00:00Z,Tave
10,305,grundskola,18,Valla,105,2,18,19,371,125,2019-01-01T12:00:00Z,Vall
90,669,grundskola,20,Wasa,250,7,13,19,702,180,2019-01-01T12:00:00Z,Wasa
,485,gymnasium,28,Västergård,220,NULL,7,16,1514,164,2019-01-01T12:00:00Z,Väst
,210,övrigt ,NULL,Stadshuset,,NULL,NULL,,210,,2019-01-01T12:00:00Z,Stad
,643,grundskola,37.9,Blombacka,390,NULL,NULL,16,1152,,2019-02-01T12:00:00Z,Blom
,386,grundskola,NULL,Braxen,,NULL,NULL,,386,,2019-02-01T12:00:00Z,Brax
,899,grundskola,NULL,Brunnsäng,,NULL,NULL,,899,,2019-02-01T12:00:00Z,Brun
,581,grundskola,16.36,Ene,190,NULL,17.22,20,581,200,2019-02-01T12:00:00Z,Ene
,338,grundskola,17.77,Fornbacka,96,NULL,NULL,16,338,,2019-02-01T12:00:00Z,Forn
,564,grundskola,30.92,Hovsjö,349,NULL,17.72,20,564,200,2019-02-01T12:00:00Z,Hovs
,477,grundskola,4.08,Hölö,39,NULL,4.08,20,477,39,2019-02-01T12:00:00Z,Hölö
,697,grundskola,22.18,Igelstaviken,232,NULL,NULL,15,697,,2019-02-01T12:00:00Z,Igel
15,391,grundskola,18.57,Lina,145,1.920614597,15.36,20,391,120,2019-02-01T12:00:00Z,Lina
,222,grundskola,27,Majtorp,120,NULL,28.13,20,222,125,2019-02-01T12:00:00Z,Majt
14,325,gymnasium,3.47,Moraberg,18,2.696456086,2.31,16,325,12,2019-02-01T12:00:00Z,Mora
,145,grundskola,18.94,Mölnbo,55,NULL,26.62,20,231,123,2019-02-01T12:00:00Z,Möln
,334,grundskola,NULL,Oxbacken,,NULL,NULL,,334,,2019-02-01T12:00:00Z,Oxba
,531,grundskola,15.68,Pershagen,125,NULL,10.79,15,531,86,2019-02-01T12:00:00Z,Pers
,639,gymnasium,23.47,Rektorsvägen,240,NULL,20.54,16,639,210,2019-02-01T12:00:00Z,Rekt
,757,grundskola,28.89,Ronna,328,NULL,9.1,15,1179,161,2019-02-01T12:00:00Z,Ronn
,540,grundskola,10.58,Rosenborg,80,NULL,5.3,14,1456,108,2019-02-01T12:00:00Z,Rose
,628,grundskola,23.24,Soldala,292,NULL,10.75,20,628,135,2019-02-01T12:00:00Z,Sold
,361,grundskola,20.86,Stålhamra,143,NULL,20.71,19,361,142,2019-02-01T12:00:00Z,Stål
,444,grundskola,20.93,Tavesta,186,NULL,19.91,20,444,177,2019-02-01T12:00:00Z,Tave
40,305,grundskola,17.72,Valla,108,6.563833279,13.49,20,371,100,2019-02-01T12:00:00Z,Vall
130,669,grundskola,NULL,Wasa,180,NULL,NULL,,702,140,2019-02-01T12:00:00Z,Wasa
,485,gymnasium,30.65,Västergård,223,NULL,5.33,15,1514,121,2019-02-01T12:00:00Z,Väst
,210,övrigt ,NULL,Stadshuset,,NULL,62.86,20,210,264,2019-02-01T12:00:00Z,Stad
,643,grundskola,29.23,Blombacka,376,NULL,NULL,20,1152,,2019-03-01T12:00:00Z,Blom
